Store,Date,Temp,Fuel_Price,CPI,Unemployment,IsHoliday,Year,Month
1,2/5/2010,42.31,2.572,211.0963582,8.106,FALSE,2010,2
1,2/12/2010,38.51,2.548,211.2421698,8.106,TRUE,2010,2
1,2/19/2010,39.93,2.514,211.2891429,8.106,FALSE,2010,2
1,2/26/2010,46.63,2.561,211.3196429,8.106,FALSE,2010,2
1,3/5/2010,46.5,2.625,211.3501429,8.106,FALSE,2010,3
1,3/12/2010,57.79,2.667,211.3806429,8.106,FALSE,2010,3
1,3/19/2010,54.58,2.72,211.215635,8.106,FALSE,2010,3
1,3/26/2010,51.45,2.732,211.0180424,8.106,FALSE,2010,3
1,4/2/2010,62.27,2.719,210.8204499,7.808,FALSE,2010,4
1,4/9/2010,65.86,2.77,210.6228574,7.808,FALSE,2010,4
1,4/16/2010,66.32,2.808,210.4887,7.808,FALSE,2010,4
1,4/23/2010,64.84,2.795,210.4391228,7.808,FALSE,2010,4
1,4/30/2010,67.41,2.78,210.3895456,7.808,FALSE,2010,4
1,5/7/2010,72.55,2.835,210.3399684,7.808,FALSE,2010,5
1,5/14/2010,74.78,2.854,210.3374261,7.808,FALSE,2010,5
1,5/21/2010,76.44,2.826,210.6170934,7.808,FALSE,2010,5
1,5/28/2010,80.44,2.759,210.8967606,7.808,FALSE,2010,5
1,6/4/2010,80.69,2.705,211.1764278,7.808,FALSE,2010,6
1,6/11/2010,80.43,2.668,211.4560951,7.808,FALSE,2010,6
1,6/18/2010,84.11,2.637,211.4537719,7.808,FALSE,2010,6
1,6/25/2010,84.34,2.653,211.3386526,7.808,FALSE,2010,6
1,7/2/2010,80.91,2.669,211.2235333,7.787,FALSE,2010,7
1,7/9/2010,80.48,2.642,211.108414,7.787,FALSE,2010,7
1,7/16/2010,83.15,2.623,211.1003854,7.787,FALSE,2010,7
1,7/23/2010,83.36,2.608,211.2351443,7.787,FALSE,2010,7
1,7/30/2010,81.84,2.64,211.3699032,7.787,FALSE,2010,7
1,8/6/2010,87.16,2.627,211.5046621,7.787,FALSE,2010,8
1,8/13/2010,87,2.692,211.6394211,7.787,FALSE,2010,8
1,8/20/2010,86.65,2.664,211.6033633,7.787,FALSE,2010,8
1,8/27/2010,85.22,2.619,211.5673056,7.787,FALSE,2010,8
1,9/3/2010,81.21,2.577,211.5312479,7.787,FALSE,2010,9
1,9/10/2010,78.69,2.565,211.4951902,7.787,TRUE,2010,9
1,9/17/2010,82.11,2.582,211.5224596,7.787,FALSE,2010,9
1,9/24/2010,80.94,2.624,211.5972246,7.787,FALSE,2010,9
1,10/1/2010,71.89,2.603,211.6719895,7.838,FALSE,2010,10
1,10/8/2010,63.93,2.633,211.7467544,7.838,FALSE,2010,10
1,10/15/2010,67.18,2.72,211.8137436,7.838,FALSE,2010,10
1,10/22/2010,69.86,2.725,211.8612937,7.838,FALSE,2010,10
1,10/29/2010,69.64,2.716,211.9088438,7.838,FALSE,2010,10
1,11/5/2010,58.74,2.689,211.9563939,7.838,FALSE,2010,11
1,11/12/2010,59.61,2.728,212.003944,7.838,FALSE,2010,11
1,11/19/2010,51.41,2.771,211.8896737,7.838,FALSE,2010,11
1,11/26/2010,64.52,2.735,211.7484333,7.838,TRUE,2010,11
1,12/3/2010,49.27,2.708,211.607193,7.838,FALSE,2010,12
1,12/10/2010,46.33,2.843,211.4659526,7.838,FALSE,2010,12
1,12/17/2010,49.84,2.869,211.4053124,7.838,FALSE,2010,12
1,12/24/2010,52.33,2.886,211.4051222,7.838,FALSE,2010,12
1,12/31/2010,48.43,2.943,211.4049321,7.838,TRUE,2010,12
1,1/7/2011,48.27,2.976,211.4047419,7.742,FALSE,2011,1
1,1/14/2011,35.4,2.983,211.4574109,7.742,FALSE,2011,1
1,1/21/2011,44.04,3.016,211.8272343,7.742,FALSE,2011,1
1,1/28/2011,43.83,3.01,212.1970577,7.742,FALSE,2011,1
1,2/4/2011,42.27,2.989,212.5668812,7.742,FALSE,2011,2
1,2/11/2011,36.39,3.022,212.9367046,7.742,TRUE,2011,2
1,2/18/2011,57.36,3.045,213.2478853,7.742,FALSE,2011,2
1,2/25/2011,62.9,3.065,213.535609,7.742,FALSE,2011,2
1,3/4/2011,59.58,3.288,213.8233327,7.742,FALSE,2011,3
1,3/11/2011,53.56,3.459,214.1110564,7.742,FALSE,2011,3
1,3/18/2011,62.76,3.488,214.3627114,7.742,FALSE,2011,3
1,3/25/2011,69.97,3.473,214.5999389,7.742,FALSE,2011,3
1,4/1/2011,59.17,3.524,214.8371664,7.682,FALSE,2011,4
1,4/8/2011,67.84,3.622,215.0743939,7.682,FALSE,2011,4
